0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443
8,0,0,7,0,11,1,0,2,0,0,2,2,2,3,0,0,2,4,1,0,6,-0.2,3,1,5,2,3,2,3,2,0,6,4,1,3,2,2,0,5,3,2,1,2,0,1,0,1,0,1,1,1,1,0,1,2,3,0,0,0,0,0,0,0,9,1,3,0,0,0,1,2,6,0,3,2,0,0,1,20,10,1,1,0,0,5,0,0,2,4,1,1,2,0,7,7,0,14,0,0,5,1,1,1,10,1,0,10,0,1,0,0,7,0,1,0,3,2,1,0,1,3,0,1,0,0,1,0,1,0,2,2,0,0,1,1,0,2,0,0,1,1,10,2,1,1,12,1,1,0,2,1,2,0,2,0,3,0,1,5,2,1,2,4,0,4,0,1,0,1,0,1,0,1,2,3,5,0,1,0,2,2,1,2,1,0,0,0,2,1,1,3,0,0,0,0,1,0,1,0,2,0,0,5,1,6,0,2,1,1,1,1,7,1,3,1,0,0,3,1,0,0,0,0,0,0,0,5,0,1,2,0,1,0,0,1,1,2,0,0,0,1,3,0,2,6,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,3,1,0,0,1,2,6,0,0,0,0,0,2,1,2,0,1,3,0,2,1,1,1,3,0,2,4,0,0,0,0,0,0,1,1,2,5,1,2,2,0,0,1,1,1,0,4,1,0,0,0,0,2,0,1,1,0,1,1,1,3,0,0,0,0,2,0,0,0,0,3,0,1,0,1,2,1,0,0,1,0,1,2,0,2,1,0,1,0,2,1,6,0,2,1,0,0,1,2,0,3,2,0,0,0,0,6,3,0,1,0,3,0,0,1,0,0,3,1,0,1,11,0,5,0,1,7,0,10,1
16,3,1,11,6,12,1,1,1,1,3,16,2,4,7,1,8,1,9,2,2,5,0.030444965,5,7,4,3,2,0,1,4,2,3,5,1,3,7,5,2,8,4,3,8,2,1,6,1,1,0,4,0,1,5,0,0,8,2,1,1,0,1,7,2,3,10,0,8,0,0,2,1,3,19,1,17,0,3,0,0,29,24,1,1,0,0,15,0,0,6,3,2,4,18,0,18,8,1,18,1,0,31,2,1,1,8,0,1,17,0,0,3,0,3,2,5,0,0,1,1,0,2,6,0,6,3,0,3,2,1,3,3,1,2,0,2,2,1,3,0,0,2,1,20,1,2,0,14,2,1,0,1,8,1,2,0,3,6,0,2,7,1,0,5,2,2,3,4,0,0,1,0,1,0,0,5,1,6,0,2,1,1,0,1,7,1,0,3,1,3,1,5,7,0,1,4,2,2,0,1,0,5,0,0,10,2,3,1,2,9,5,1,2,7,1,1,2,0,0,0,1,0,0,0,0,3,4,3,1,0,0,0,0,2,0,1,0,2,0,1,5,2,2,3,0,4,4,2,2,2,0,0,0,4,2,2,1,1,3,1,2,0,1,0,2,0,1,2,0,1,0,0,2,0,1,0,0,1,2,0,1,0,1,1,1,0,1,0,0,1,2,1,3,1,0,1,2,1,1,2,1,3,2,2,0,3,1,1,2,3,3,2,1,1,0,5,2,1,0,3,6,0,0,2,1,1,1,1,4,11,1,2,5,1,3,0,2,2,5,1,7,2,1,5,0,2,1,5,2,1,10,4,3,0,3,2,1,0,7,0,0,2,8,2,0,0,1,1,1,1,0,0,0,1,0,1,0,3,0,0,2,2,0,2,1,15,0,0,2,2,6,2,1,0,5,0,0,2,0,1,0,3,6,1,0,0,3,1,0,1,1,0,0,1,1,4,3,1,0,0,1,15,24,0,0,1,2,0,1,1,0,1,14,1,1,2,4,2,3,0,1,23,3,22,1
19,0,0,13,2,14,0,0,6,2,0,11,1,2,2,0,12,3,9,2,1,3,-0.023498695,2,4,4,2,3,2,1,1,1,5,6,3,2,7,4,0,2,2,2,6,4,0,2,1,1,1,7,2,1,2,2,1,9,1,1,3,1,2,6,0,3,7,2,14,0,1,0,0,2,13,1,13,2,0,1,1,25,23,2,1,0,0,11,0,0,2,6,0,1,19,1,16,12,1,17,0,0,19,4,0,0,10,0,2,9,0,0,6,0,3,2,5,1,1,0,1,0,0,7,0,4,1,2,5,4,1,2,1,3,3,0,0,4,0,1,0,0,1,2,16,0,1,2,9,3,0,2,5,4,1,1,0,2,3,1,1,3,1,0,1,2,2,0,1,0,0,2,4,2,0,0,5,4,7,2,3,0,0,2,1,3,1,0,3,1,4,6,1,9,0,0,2,0,0,1,0,1,3,1,2,7,0,6,3,1,3,5,3,3,1,1,7,1,0,1,2,1,0,1,3,1,2,1,0,3,1,0,1,0,1,0,2,1,1,3,3,0,0,0,0,0,1,3,0,1,4,0,0,0,8,0,1,0,0,3,3,1,0,1,1,0,1,1,2,0,3,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,3,1,0,0,0,1,1,0,1,0,0,1,0,1,2,0,2,1,0,1,0,0,0,0,1,2,0,0,0,0,3,2,0,0,4,1,2,0,0,0,2,1,1,3,9,3,1,6,1,2,0,0,4,7,0,4,6,2,8,0,0,3,3,1,1,2,2,2,4,3,1,0,1,7,2,0,5,6,1,0,3,1,1,2,0,1,1,0,1,0,3,1,3,2,0,1,0,0,1,1,3,0,2,1,1,5,0,2,0,1,4,2,2,0,1,0,1,2,1,0,1,3,1,1,1,0,0,2,1,0,6,1,1,0,0,0,6,19,1,1,0,1,0,2,1,0,0,6,3,2,1,6,3,3,1,2,12,0,22,1
6,0,0,5,3,13,2,0,1,0,1,11,2,3,1,0,6,0,2,0,0,2,0.057268722,2,4,2,1,0,1,1,1,1,5,2,1,1,3,2,0,5,2,3,2,3,0,2,3,0,0,3,1,2,4,2,0,4,2,0,0,0,0,0,0,2,9,1,11,1,0,0,1,4,12,0,10,0,0,0,0,8,15,4,1,0,0,6,1,2,3,4,2,1,5,1,5,5,0,11,0,1,13,0,0,1,8,0,2,11,0,1,0,0,4,1,1,1,2,2,0,0,0,0,0,0,3,0,1,2,1,1,2,0,2,0,1,3,0,1,0,0,1,1,7,1,0,1,5,4,0,0,0,0,1,0,0,2,1,1,0,1,2,0,1,2,1,1,0,0,0,0,2,0,1,0,4,2,0,0,1,0,0,2,0,1,0,0,1,0,2,2,0,4,0,0,0,1,0,0,1,1,1,0,0,3,1,3,1,3,3,4,3,3,1,0,3,0,0,0,0,2,1,0,1,0,2,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,2,0,1,2,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,2,0,0,1,3,0,2,1,0,0,0,0,1,0,1,3,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,3,1,1,1,0,0,1,0,2,0,4,0,1,4,0,1,0,0,1,1,1,1,3,0,0,0,0,0,2,3,0,4,1,5,1,2,1,1,1,2,2,0,1,2,4,0,1,0,0,0,0,1,0,1,0,0,2,1,1,2,0,0,2,0,3,0,0,0,0,1,0,1,1,2,0,0,1,1,1,0,2,1,1,0,0,0,0,1,2,3,2,0,0,1,0,0,2,2,2,2,0,1,7,5,1,0,0,2,0,0,0,0,1,7,0,1,2,5,1,2,0,0,7,0,9,1
37,2,2,43,13,32,2,3,9,1,2,34,8,6,8,0,30,3,41,3,4,12,0.055021834,10,7,9,7,7,9,13,11,2,5,8,11,10,12,8,2,8,10,11,10,7,3,9,4,1,1,6,1,12,10,1,2,13,10,4,1,1,1,11,1,13,23,3,49,4,2,5,5,16,40,2,27,1,1,2,5,40,43,3,0,2,3,30,0,0,9,10,0,12,45,1,35,40,4,43,3,5,34,3,2,0,36,1,10,39,1,2,14,0,8,13,16,0,7,2,8,2,2,9,4,17,20,1,11,2,5,9,7,2,4,2,3,10,3,6,1,0,3,3,41,1,3,3,28,17,2,3,4,13,5,6,9,6,15,2,3,17,13,1,19,11,5,17,0,3,2,2,5,8,0,4,8,16,16,0,5,1,2,9,4,16,0,2,2,1,9,13,5,15,4,5,7,1,0,4,2,4,4,1,2,15,1,11,3,21,5,13,8,16,9,1,18,2,5,3,3,2,1,2,2,4,2,4,1,4,0,4,2,2,2,1,0,3,1,1,0,2,5,12,5,3,3,8,1,5,6,1,3,1,12,2,1,0,6,6,1,2,1,4,2,3,2,1,3,0,4,2,1,4,1,4,4,0,5,1,0,2,5,3,2,1,4,0,0,0,3,1,6,2,5,4,1,3,2,4,0,1,2,5,2,3,3,3,2,0,2,2,1,1,4,3,13,1,2,4,11,1,6,3,0,3,7,3,5,1,10,4,2,12,2,11,3,2,6,7,8,7,11,1,18,3,0,2,2,7,2,12,11,8,5,11,1,6,0,6,5,3,7,6,18,8,3,1,5,1,1,1,0,1,0,3,7,3,20,1,0,3,2,1,9,4,11,1,1,0,4,7,3,2,0,8,3,11,3,1,2,4,1,4,4,5,2,4,1,8,2,11,3,1,2,0,10,0,5,1,1,4,27,30,2,1,1,2,0,1,2,1,5,72,5,2,3,35,2,11,1,2,51,2,43,1
7,1,0,5,0,8,0,0,0,1,1,7,1,4,0,0,7,0,6,2,0,4,0.098901099,2,5,0,1,1,0,0,1,0,2,1,1,2,5,5,1,1,2,4,3,2,0,2,0,0,0,0,0,1,2,1,2,0,1,1,1,0,0,4,0,1,2,1,7,0,0,0,0,1,7,0,5,1,0,1,0,14,4,3,2,0,0,5,0,0,1,2,0,2,9,0,6,5,0,7,0,0,8,2,1,0,4,0,1,3,0,1,3,0,0,2,1,0,2,0,1,1,0,2,1,0,1,0,1,0,0,3,1,0,1,0,0,2,1,2,0,0,0,1,11,0,0,0,3,1,0,0,1,2,2,0,0,2,1,0,2,1,0,0,1,1,1,1,1,0,0,1,1,2,0,0,1,1,1,0,0,0,0,1,1,2,0,0,0,0,3,1,0,3,0,1,2,0,0,0,0,1,3,0,0,2,2,3,0,2,1,3,1,1,2,0,1,0,0,0,1,0,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,3,2,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,3,1,0,2,1,3,0,0,1,0,1,0,2,0,1,0,0,0,0,0,1,1,0,2,3,0,0,1,1,2,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2,0,3,0,2,5,0,0,1,0,2,3,0,0,1,0,0,0,0,1,1,2,0,2,0,2,0,0,0,0,3,2,0,1,0,1,2,10,0,0,0,1,0,0,0,1,0,2,0,0,0,2,0,3,1,0,9,0,8,1
27,6,0,23,2,28,5,0,7,1,3,18,6,12,8,1,22,2,17,6,2,6,0.020910209,7,6,9,7,4,4,9,4,1,18,9,2,6,16,9,1,6,3,13,4,6,1,5,4,2,0,4,5,4,4,1,0,8,13,4,1,0,5,9,2,12,19,2,23,1,0,4,2,7,30,3,28,0,0,6,3,53,38,6,1,1,0,20,1,1,10,12,0,5,41,1,19,17,1,39,1,0,28,3,1,1,29,0,5,35,0,1,3,1,17,11,6,1,1,6,4,1,1,6,3,5,9,1,5,4,1,2,7,2,2,3,0,12,1,2,0,0,2,4,47,2,0,1,17,8,0,3,5,4,0,5,3,4,10,0,0,9,7,0,11,10,2,8,1,2,0,4,3,5,1,0,8,9,13,3,6,2,2,4,2,9,1,0,1,0,7,8,5,14,0,2,5,0,1,3,1,3,9,1,4,6,1,9,3,8,6,15,4,10,14,0,12,3,1,1,1,2,2,1,1,1,1,4,1,10,0,1,2,0,3,0,1,2,3,3,2,0,1,6,3,1,3,8,2,1,6,1,1,1,9,4,0,1,3,1,1,2,1,6,3,0,0,3,1,0,2,3,0,1,2,1,0,1,3,2,1,3,1,0,1,3,7,1,1,1,1,0,7,1,1,0,3,1,0,2,2,0,2,2,2,0,4,4,1,3,3,3,0,0,2,1,13,2,1,1,3,7,4,4,3,1,4,5,1,2,16,4,2,9,1,9,1,1,6,10,7,7,6,1,5,2,0,6,3,2,4,12,5,12,7,2,0,2,0,12,3,0,9,16,7,3,2,2,3,1,0,2,0,1,0,0,7,3,8,2,0,1,2,1,6,2,9,1,9,5,3,5,1,1,1,7,2,5,3,0,3,5,3,4,3,2,2,5,0,7,0,4,1,1,1,2,4,1,3,3,1,0,30,29,0,4,0,2,0,0,1,1,3,28,5,3,0,25,5,9,0,0,43,1,42,1
29,2,1,13,2,26,2,0,5,1,0,19,2,11,7,5,18,2,15,6,0,12,0.00619195,9,7,12,3,5,2,3,2,1,20,8,2,4,7,3,0,9,4,6,7,3,1,8,1,2,1,11,2,5,5,1,3,12,4,2,5,0,2,10,2,3,12,1,22,1,0,1,0,8,22,0,21,3,0,0,1,48,41,5,0,1,2,18,1,1,8,6,4,5,27,2,17,21,1,37,0,0,37,1,0,0,20,2,2,28,0,1,7,4,15,3,5,1,1,4,4,1,3,3,6,3,4,0,6,0,2,4,4,2,5,2,2,6,1,2,1,1,2,3,38,0,1,1,19,3,0,6,5,6,3,1,0,4,12,1,3,15,2,0,6,4,4,5,0,1,0,1,6,6,3,0,9,3,5,1,2,0,1,8,4,10,0,1,1,1,5,3,1,18,2,1,7,0,0,2,0,3,6,1,3,10,0,5,4,4,4,7,3,8,3,0,11,5,3,1,3,2,2,1,1,1,1,2,1,5,1,2,1,2,0,0,0,1,4,1,8,2,0,2,5,1,5,9,2,0,5,1,0,2,8,5,2,1,4,0,4,0,0,3,0,1,0,0,3,1,1,0,0,4,1,0,0,3,0,1,1,2,1,0,3,2,2,2,2,1,2,0,2,2,1,1,1,0,1,3,1,4,5,1,5,1,8,1,1,3,1,3,1,2,1,0,12,1,2,0,8,8,3,1,0,1,5,1,3,0,28,1,4,10,0,6,2,3,1,10,3,2,11,3,9,0,0,5,3,4,0,9,7,8,6,3,0,0,1,3,3,0,3,12,1,0,2,1,3,0,1,2,2,1,0,0,1,1,8,0,0,2,0,1,4,1,6,1,1,1,0,6,1,4,2,4,2,3,2,0,4,2,4,4,6,2,1,2,1,5,1,5,3,4,1,0,6,0,0,1,0,0,13,25,1,2,0,1,0,3,4,1,1,21,5,7,1,12,0,6,1,2,38,1,32,1
17,1,3,17,2,14,4,1,3,1,3,12,5,7,1,1,13,3,16,6,4,14,0.032786885,9,9,7,5,2,0,1,3,2,11,7,5,3,9,3,0,6,5,5,7,4,1,3,1,3,2,7,1,5,6,0,3,7,7,5,1,1,6,8,1,4,15,1,16,0,2,2,3,9,20,1,20,0,1,3,2,33,30,1,0,0,1,5,1,2,6,7,2,6,32,1,20,16,1,37,0,3,17,2,0,0,22,0,4,28,0,0,4,0,11,2,6,1,1,1,0,0,0,2,2,2,12,1,6,2,2,2,2,4,6,0,2,7,3,6,2,0,4,4,41,3,2,3,11,4,0,2,5,4,0,3,0,3,5,2,2,11,6,0,11,4,1,5,1,1,0,1,2,4,0,3,7,6,8,2,1,0,1,4,1,6,1,1,0,1,8,3,4,14,0,5,4,0,2,0,1,0,9,0,2,7,0,12,2,9,5,15,6,12,7,1,13,4,2,2,0,1,1,1,2,2,0,2,2,3,1,0,2,0,2,0,1,3,1,0,4,1,0,3,2,0,2,6,1,0,6,0,0,1,10,2,0,1,4,7,1,1,1,8,0,0,3,0,5,0,0,2,3,0,0,0,0,0,2,0,1,0,1,2,4,2,3,0,0,1,0,0,2,0,0,0,0,1,2,0,0,2,3,0,0,1,0,0,2,1,1,3,1,0,0,0,10,1,2,2,3,2,3,3,1,1,2,0,1,4,17,1,4,9,0,3,1,5,7,6,3,4,11,1,9,1,0,2,2,3,1,14,5,7,9,0,1,1,0,11,1,0,3,10,6,2,2,3,3,0,0,2,1,1,0,0,1,2,2,2,0,2,0,2,5,3,2,1,2,0,3,3,0,2,1,2,3,5,2,0,6,1,3,1,3,1,0,3,2,2,0,3,1,2,0,1,5,1,1,2,1,1,14,21,1,1,0,5,1,2,2,1,3,27,4,1,3,13,0,10,3,0,26,0,31,1
28,0,2,14,0,14,3,1,5,0,3,10,0,2,2,2,12,3,8,3,2,6,-0.247524752,6,3,9,7,5,4,5,3,1,4,4,3,3,8,6,2,9,0,1,4,1,0,0,1,1,0,4,0,2,4,1,2,9,10,5,2,1,2,7,0,4,14,1,11,2,1,0,1,5,12,0,8,3,0,2,2,31,24,4,2,0,0,5,0,0,1,6,1,4,16,2,17,14,1,28,1,2,14,0,2,1,24,0,4,19,0,0,2,2,4,2,2,0,5,1,3,0,1,7,1,3,2,0,7,4,3,0,5,0,4,0,1,8,0,4,0,0,3,3,22,1,1,1,21,4,1,3,4,3,0,0,0,0,10,1,2,7,3,0,4,4,5,4,0,2,3,2,1,3,0,1,7,6,6,0,2,0,2,4,0,3,0,1,1,1,7,5,5,4,2,1,5,0,0,0,0,2,3,2,0,3,2,15,0,1,3,5,5,1,5,1,3,6,1,3,5,1,3,0,3,2,2,0,0,3,0,0,2,1,0,3,2,1,1,1,1,1,0,7,3,0,6,6,1,0,2,0,1,0,5,1,0,2,0,5,0,0,0,2,0,1,0,0,2,0,1,1,1,1,0,1,0,0,0,1,3,4,0,0,0,0,2,0,0,0,1,0,3,2,1,1,0,8,1,2,0,1,2,1,2,0,1,2,0,2,1,2,0,0,2,0,8,0,0,2,6,3,7,1,1,0,2,1,0,5,9,0,4,8,0,2,1,1,3,3,2,7,2,0,5,1,1,0,0,3,1,5,5,4,3,6,0,1,0,4,1,1,5,5,3,0,2,4,3,1,0,2,1,2,0,1,6,0,5,0,0,1,0,1,4,2,3,1,2,4,0,5,2,4,2,1,0,1,1,0,2,0,2,3,2,1,1,6,0,1,0,3,0,4,1,1,3,0,2,0,1,3,21,9,0,1,0,3,0,2,3,0,2,10,2,2,1,13,1,7,2,1,17,0,18,1
